timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1790096215109,313,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,889,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,307,0,250
1790096215431,72,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,889,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,72,0,0
1790096215505,67,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,67,0,0
1790096215575,9,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,889,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,9,0,0
1790096215586,25,GET /api/search?q=laptop,200,OK,Capacity Study Virtual Users 1-1,text,true,,18490,207,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/search?q=laptop,22,0,0
1790096215622,11,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,889,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,10,0,0
1790096215634,10,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,9,0,0
1790096215644,21,GET /api/products/1,200,OK,Capacity Study Virtual Users 1-1,text,true,,974,202,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products/1,21,0,0
1790096215666,14,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,889,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,14,0,0
1790096215682,14,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,889,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,14,0,0
1790096215698,15,GET /api/dashboard,200,OK,Capacity Study Virtual Users 1-1,text,true,,2220,201,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/dashboard,15,0,0
1790096215714,9,GET /api/orders,200,OK,Capacity Study Virtual Users 1-1,text,true,,1341,207,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/orders?limit=10,9,0,0
1790096215725,13,POST /api/orders,201,Created,Capacity Study Virtual Users 1-1,text,true,,662,289,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/orders,13,0,0
1790096215740,13,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,13,0,0
1790096215754,23,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,23,0,0
1790096215779,9,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,889,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,9,0,0
1790096215789,34,GET /api/search?q=laptop,200,OK,Capacity Study Virtual Users 1-1,text,true,,18490,207,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/search?q=laptop,33,0,0
1790096215825,34,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,889,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,34,0,0
1790096215860,13,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,13,0,0
1790096215875,9,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,889,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,9,0,0
1790096215886,24,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,889,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,24,0,0
1790096215911,9,GET /api/products/1,200,OK,Capacity Study Virtual Users 1-1,text,true,,974,202,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products/1,9,0,0
1790096215921,183,GET /api/heavy-operation,200,OK,Capacity Study Virtual Users 1-1,text,true,,808,224,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/heavy-operation?iterations=15000,182,0,0
1790096216105,19,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,19,0,0
1790096216125,11,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,10,0,0
1790096216137,7,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,7,0,0
1790096216144,11,GET /api/search?q=laptop,200,OK,Capacity Study Virtual Users 1-1,text,true,,18490,207,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/search?q=laptop,10,0,0
1790096216156,7,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,7,0,0
1790096216163,11,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,10,0,0
1790096216175,9,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,9,0,0
1790096216185,11,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,11,0,0
1790096216196,27,GET /api/dashboard,200,OK,Capacity Study Virtual Users 1-1,text,true,,2256,201,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/dashboard,27,0,0
1790096216223,14,GET /api/orders,200,OK,Capacity Study Virtual Users 1-1,text,true,,1307,207,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/orders?limit=10,14,0,0
1790096216238,7,POST /api/orders,201,Created,Capacity Study Virtual Users 1-1,text,true,,662,289,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/orders,7,0,0
1790096216245,11,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,11,0,0
1790096216256,19,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,18,0,0
1790096216276,14,GET /api/products/1,200,OK,Capacity Study Virtual Users 1-1,text,true,,974,202,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products/1,14,0,0
1790096216291,14,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,14,0,0
1790096216306,13,GET /api/search?q=laptop,200,OK,Capacity Study Virtual Users 1-1,text,true,,18490,207,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/search?q=laptop,12,0,0
1790096216320,15,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,15,0,0
1790096216336,18,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,18,0,0
1790096216355,13,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,13,0,0
1790096216368,23,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,23,0,0
1790096216392,7,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,7,0,0
1790096216400,72,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,72,0,0
1790096216473,7,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,7,0,0
1790096216481,19,GET /api/search?q=laptop,200,OK,Capacity Study Virtual Users 1-1,text,true,,18490,207,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/search?q=laptop,13,0,0
1790096216501,10,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,10,0,0
1790096216512,42,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,42,0,0
1790096216555,27,GET /api/products/1,200,OK,Capacity Study Virtual Users 1-1,text,true,,974,202,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products/1,27,0,0
1790096216583,38,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,38,0,0
1790096216623,22,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,22,0,0
1790096216646,9,GET /api/dashboard,200,OK,Capacity Study Virtual Users 1-1,text,true,,2303,201,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/dashboard,9,0,0
1790096216655,18,GET /api/orders,200,OK,Capacity Study Virtual Users 1-1,text,true,,1387,207,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/orders?limit=10,18,0,0
1790096216673,9,POST /api/orders,201,Created,Capacity Study Virtual Users 1-1,text,true,,662,289,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/orders,9,0,0
1790096216683,41,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,41,0,0
1790096216725,39,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,39,0,0
1790096216765,25,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,25,0,0
1790096216790,49,GET /api/search?q=laptop,200,OK,Capacity Study Virtual Users 1-1,text,true,,18491,207,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/search?q=laptop,49,0,0
1790096216840,43,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,43,0,0
1790096216884,17,GET /api/products,200,OK,Capacity Study Virtual Users 1-1,text,true,,7833,209,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products?limit=20,16,0,0
1790096216901,33,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,33,0,0
1790096216934,39,GET /health,200,OK,Capacity Study Virtual Users 1-1,text,true,,890,194,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/health,39,0,0
1790096216974,9,GET /api/products/1,200,OK,Capacity Study Virtual Users 1-1,text,true,,974,202,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/products/1,9,0,0
1790096216984,177,GET /api/heavy-operation,200,OK,Capacity Study Virtual Users 1-1,text,true,,808,224,1,1,https://app-capacity-study-363acfoagthui.azurewebsites.net/api/heavy-operation?iterations=15000,177,0,0
